x,Curve1
0.6359,0.10201
0.64565,0.12555
0.65647,0.16139
0.66362,0.21954
0.67374,0.26174
0.67731,0.3101
0.68736,0.42448
0.70325,0.5847
0.72203,0.863
0.73501,1.1888
0.75307,1.7004
0.76682,2.1317
0.7871,2.8456
0.80451,3.5008
0.8168,4.3887
0.83279,5.0074
0.85241,5.895
0.87347,7.253
0.88947,8.019
0.91202,9.207
0.93603,10.572
0.96296,11.986
0.99209,13.59
1.02121,15.505
1.04305,17.037
1.06345,18.37
