x,Curve1
0.10382,1.9159
0.15833,2.814
0.21892,3.618
0.28817,4.61
0.3594,5.542
0.4143,6.439
0.4993,7.61
0.59,8.773
0.7215,10.371
0.9042,12.571
1.2023,14.516
1.421,15.541
1.8191,15.769
2.5053,16.582
3.6,16.958
5.181,17.329
7.456,17.708
